word,def,sentiment,
A. M.,"Stands for artium magister, or master of arts; the second degree of our universities, which, in some foreign countries, is called doctor of philosophy.",1.5,
Aba'cke.,Backwards.,,
ABA'CTOR.,"Those who drive away or steal cattle in herds, or great numbers at once, in distinction from those that steal only a sheep or two.",-2.5,
Aba'ft.,"From the fore-part of the ship, towards the stern.",,
Abai'sance.,"An act of reverence, a bow.",2.75,
To ABA'LIENATE.,To make that another's which was our own before.,2,
Abaliena'tion.,"A giving up one's right to another person; or a making over an estate, goods, or chattels by sale, or due course of law.",1,
To Aba'nd.,To forsake.,-2,
To ABA'NDON.,"1. To give up, resign, or quit; 2. To desert. 3. To forsake, generally with a tendency to an ill sense.",-2.5,
To Abandon Over.,"To give up to, to resign.",-2.5,
Abandoned.,"1. Given up. 2. Forsaken, deserted. 3. Corrupted in the highest degree.",-3,
Aba'ndoning.,"Desertion, forsaking.",-3,
Aba'ndonment.,1. The act of abandoning. The state of being abandoned.,-3,
A'barcy.,Insatiableness.,-2.75,
To Aba're.,"To make bare, uncover, or disclose.",1,
Abarticula'tion.,"A good and apt construction of the bones, by which they move strongly and easily; or that species of articulation that has manifest motion.",2,
To Aba'se.,"To cast down, to depress, to bring low,",-3,
Aba'sement.,"The state of being brought low, the act of bringing low; depression.",-3,
To Aba'sh.,To put into confusion; to make ashamed. It generally implies a sudden impression of shame.,-3,
To ABA'TE.,"1. To lessen, to diminish. 2. To deject, or depress the mind. to let down the price in selling, sometimes to beat down the price in buying.",-2.75,
To Abate.,To grow less;,-2.75,
To Abate.,"It is in law used both actively and neuterly; as, to abate a castle, to beat it down. To abate a writ, is, by some exception, to defeat or overthrow it. A stranger abateth, that is, entereth upon a house or land void by the death of him that last possessed it, before the heir take his possession, and so keepeth him out. Wherefore, as he that putteth out him in possession, is said to disseise: so he that steppeth in between the former possessor and his heir, is said to abate. In the neuter signification thus; The writ of the demandment shall abate, that is, shall be disabled, frustrated, or overthrown. The appeal abateth by covin, that is, that the accusation is defeated by deceit.",-2.75,
To Abate.,"A horse is said to abate or take down his curvets; when working upon curvets, he puts his two hind-legs to the ground both at once, and observes the same exactness in all the times.",-2.75,
Aba'tement.,1. The act of abating or lessening. 2. The state of being abated. 3. The sum or quantity taken away by the act of abating. 4. The cause of abating; extenuation.,-2,
"Abatement,","The act of the abator; as, the abatement of the heir into the land before he hath agreed with the lord. The affection or passion of the thing abated; as, abatement of the writ.",-2,
"Abatement,","is an accidental mark, which being added to a coat of arms, the dignity of it is abased, by reason of some stain or dishonourable quality of the bearer.",-2,
Aba'ter.,The agent or cause by which an abatement is procured.,-2,
Aba'tor.,"One who intrudes into houses or land, that is void by the death of the former possessour, as yet not entered upon or taken up by his heir.",-2,
A'batude.,Any thing diminished.,-2.5,
A'bature.,Those sprigs of grass which are thrown down by a stag in his passing by.,,
ABBA.,"A Syriac word, which signifies father.",1,
A'bbacy.,The rights or privileges of an abbot.,1,
A'bbess.,The superiour or governess of a nunnery or monastery of women.,1,
"A'bbey, or Abby.","A monastery of religious persons, whether men or women; distinguished from religious houses of other denominations by larger privileges.",1,
A'bbey-lubber.,"A slothful loiterer in a religious house, under pretence of retirement and austerity.",-2.75,
A'BBOT.,"The chief of a convent, or fellowship of canons. Of these, some in England were mitred, some not: those that were mitred, were exempted from the jurisdiction of the diocesan, having in themselves episcopal authority within their precincts, and being also lords of parliament. The other sort were subject to the diocesan in all spiritual government.",1.5,
A'bbotship.,The state or privilege of an abbot.,2,
To ABBRE'VIATE.,"1. To shorten by contraction of parts without loss of the main substance. 2. To shorten, to cut short.",1,
Abbrevia'tion.,"1. The act of abbreviating. 2. The means used to abbreviate, as characters signifying whole words.",1,
Abbrevia'tor.,"One who abbreviates, or abridges.",1,
Abbre'viature.,1. A mark used for the sake of shortening. 2. A compendium or abridgement.,,
"A, B, C.",1. Is taken for the alphabet; 2. Sometimes for the little book by which the elements of reading are taught.,,
To A'BDICATE.,To give up right; to resign; to lay down an office.,-2,
Abdica'tion.,The act of abdicating; resignation; quitting an office by one's own proper act before the usual or stated expiration.,-2,
A'bdicative.,That which causes or implies an abdication.,-2,
A'bditive.,That which has the power or quality of hiding.,2,
ABDO'MEN.,"A cavity commonly called the lower venter or belly: It contains the stomach, guts, liver, spleen, bladder, and is within lined with a membrane called the peritonæum. The lower part is called the hypogastrium; the foremost part is divided into the epigastrium, the right and left hypochondria, and the navel; 'tis bounded above by the cartilago ensiformis and the diaphragm, sideways by the short or lower ribs, and behind by the vertebræ of the loins, the bones of the coxendix, that of the pubes and os sacrum. It is covered with several muscles, from whose alternate relaxations and contractions in respiration, digestion is forwarded, and the due motion of all the parts therein contained promoted, both for secretion and expulsion.",,
To ABDU'CE.,To draw to a different part; to withdraw one part from another.,-1,
Abdu'cent.,"Muscles abducent, are those which serve to open or pull back divers parts of the body; their opposites being called adducent.",,
Abdu'ction.,"1. The act of drawing apart, or withdrawing one part from another. 2. A particular form of argument.",-2,
ABDU'CTOR.,"The name given by anatomists to the muscles, which serve to draw back the several members.",,
Abeceda'rian.,"He that teaches or learns the alphabet, or first rudiments of literature.",1.5,
A'becedary.,1. Belonging to the alphabet. 2. Inscribed with the alphabet.,,
Abe'd.,In bed.,,
Aberr'ance.,A deviation from the right way; an errour; a mistake; a false opinion.,-2.75,
Abe'rrant.,"Deviating, wandering from the right or known way.",-2,
Aberra'tion.,The act of deviating from the common track.,-2,
Abe'rring.,"Wandering, going astray.",-2,
To Aberu'ncate.,To pull up by the roots; to extirpate utterly.,-3,
To ABE'T.,"To push forward another, to support him in his designs by connivance, encouragement, or help.",2.75,
Abe'tment.,The act of abetting.,2.75,
"Abe'tter, or Abe'ttor.",He that abets; the supporter or encourager of another.,2.75,
Abey'ance.,"The right of fee-simple lieth in abeyance, when it is all only in the remembrance, intendment, and consideration of the law. The frank tenement of the glebe of the parsonage, is in no man during the time that the parsonage is void, but is in abeyance.",,
Abgrega'tion.,A separation from the flock.,-2,
To ABHO'R.,To hate with acrimony; to detest to extremity; to loath.,-3,
Abho'rrence.,"1. The act of abhorring, detestation. 2. The disposition to abhor, hatred.",,
Abho'rrent.,"1. Struck with abhorrence. 2. Contrary to, foreign, inconsistent with.",,
Abho'rrer.,"The person that abhors; a hater, detester.",,
Abho'rring.,The object of abhorrence.,,
To ABI'DE.,"1. To dwell in a place, not remove. 2. To dwell. 3. To remain, not cease or fail. 4. To continue in the same state. 5. To wait for, expect, attend, wait upon, await; 6. To bear or support the consequences of a thing. 7. To bear or support, without being conquered or destroyed. 8. To bear without aversion; 9. To bear or suffer.",,
Abi'der.,The person that abides or dwells in a place; perhaps that lives or endures.,,
Abi'lity.,"1. The power to do any thing, whether depending upon skill, or riches, or strength, or any other quality. 2. Capacity. 3. When it has the plural number, abilities, it frequently signifies the faculties or powers of the mind, and sometimes the force of understanding given by nature, as distinguished from acquired qualifications.",,
Abinte'state.,"implying him that inherits from a man, who, though he had the power to make a will, yet did not make it.",,
A'BJECT.,"1. Mean, or worthless, 2. Contemptible, or of no value; 3. Without hope or regard; 4. Destitute, mean and despicable;",,
A'bject.,A man without hope; a man whose miseries are irretrievable.,,
To Abje'ct.,To throw away.,,
Abje'ctedness.,The state of an abject.,,
Abje'ction.,Meanness of mind; want of spirit; servility; baseness.,,
A'bjectly.,"In an abject manner, meanly, basely, servilely, contemptibly.",,
A'bjectness.,"The same with abjection; servility, meanness.",,
Abjura'tion.,The act of abjuring. The oath taken for that end.,,
To ABJU'RE.,"1. To cast off upon oath, to swear not to do something. 2. To retract, or recant, or abnegate; a position upon oath.",,
To ABLA'CTATE.,To wean from the breast.,,
Ablacta'tion.,"One of the methods of grafting; and, according to the signification of the word, as it were a weaning of a cyon by degrees from its mother stock, not cutting it off wholly from the stock, till it is firmly united to that on which it is grafted.",,
Ablaquea'tion.,"The act or practice of opening the ground about the roots of trees, to let the air and water operate upon them.",,
ABLA'TION.,The act of taking away.,,
A'blative.,"1. That which takes away. 2. The sixth case of the Latin nouns; the case which, among other significations, includes the person from whom something is taken away.",,
A'BLE.,"1. Having strong faculties, or great strength or knowledge, riches, or any other power of mind, body, or fortune. 2. Having power sufficient; enabled. 3. Before a verb, with the participle to, it signifies generally having the power; before a noun, with for, it means qualified.",,
To A'ble.,"To make able; to enable, which is the word commonly used.",,
Able-bodied.,Strong of body.,,
To A'BLEGATE.,To send abroad upon some employment; also to send a person out of the way that one is weary of.,,
Ablega'tion.,"A sending abroad, or out of the way.",,
A'bleness.,"Ability of body, vigour, force.",,
A'blepsy.,"Want of sight, natural blindness; also unadvisedness.",,
Abliguri'tion.,A prodigal spending on meat and drink.,,
To A'BLOCATE.,To let out to hire. Perhaps properly by him who has hired it from another.,,
Abloca'tion.,A letting out to hire.,,
To Ablu'de.,To be unlike.,,
A'bluent.,1. That which washes clean. That which has the power of cleansing.,,
Ablu'tion.,"1. The act of cleansing, or washing clean. 2. The rinsing of chymical preparations in water, to dissolve and wash away any acrimonious particles. 3. The cup given, without consecration, to the laity in the popish churches.",,
To A'BNE'GATE.,To deny.,,
Abnega'tion.,"Denial, renunciation.",,
Abno'rmous.,"Irregular, mishapen.",,
Abo'ard.,In a ship.,,
Abo'de. To make abode,"1. Habitation, dwelling, place of residence. 2. Stay, continuance in a place. to dwell, to reside, to inhabit.",,
To Abo'de.,"To foretoken or foreshow; to be a prognostic, to be ominous.",,
Abo'dement.,A secret anticipation of something future; an impression upon the mind of some event to come; prognostication; omen.,,
To ABO'LISH.,1. To annul. 2. To put an end to; to destroy.,,
Abo'lishable.,That which may be abolished.,,
Abo'lisher.,He that abolishes.,,
Abo'lishment.,The act of abolishing.,,
Aboli'tion.,The act of abolishing.,,
Abo'minable.,"1. Hateful, detestable. 2. Unclean.",,
